职位名称,公司名称,公司类型,融资情况,公司规模
研发专家（存储）【成都】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
华为OD测试开发工程师【上海】,华为,通信设备, ,10000人以上
研发专家（分布式存储）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
研发专家（存储）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
存储研发工程师【北京-朝阳区】,汉勃科技,人工智能, ,50-99人
测试开发工程师-北京【北京-海淀区】,某通信企业,通信业,融资未公开,10000人以上
存储研发专家【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
分布式存储【北京】,某通讯公司,云服务,其他,100-499人
测试开发工程师-上海【上海-浦东新区】,某通信企业,通信业,融资未公开,10000人以上
研发专家(存储)【北京-海淀区】,某知名公司,计算机软件,战略融资,2000-5000人
存储研发专家【北京】,某北京世界500强公司,互联网,其他,100-499人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【北京】,某知名公司,专业技术服务
c++软件工程师【南京-雨花台区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
资深存储研发工程师(M4832)【成都-高新区】,XSKY星辰天合,计算机软件,D轮,500-999人
分布式存储研发专家【北京】,国内某知名公司,通信业,已上市,10000人以上
研发专家（分布式存储/存储引擎）【上海】,某互联网科技公司,互联网/电商,已上市,10000人以上
高级后端开发工程师（混合云存储方向）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
资深存储研发工程师(M4832)【武汉-江夏区】,XSKY星辰天合,计算机软件,D轮,500-999人
混合云存储研发高级工程师【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
存储研发【北京】,某北京互联网公司,互联网,融资未公开,100-499人
云化软件开发工程师【上海-浦东新区】,华为,通信设备, ,10000人以上
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储高级研发工程师【北京-朝阳区】,汉勃科技,人工智能, ,50-99人
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式开发测试工程师【北京】,某深圳大型通信公司,通信设备,融资未公开,10000人以上
研发专家（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【北京】,某云计算厂商,互联网/电商,战略融资,10000人以上
研发专家（混合云存储方向）【杭州-余杭区】,天翼云科技有限公司,互联网,其他,2000-5000人
安全测试工程师【北京-海淀区】,华为,通信设备, ,10000人以上
运维开发【杭州-西湖区】,浙江天猫技术有限公司,计算机软件,融资未公开,10000人以上
高级后端开发工程师（混合云存储方向）【广州-海珠区】,天翼云科技有限公司,互联网,其他,2000-5000人
华为OD研发/测试工程师【成都-郫都区】,华为,通信设备, ,10000人以上
云存储研发工程师【成都-武侯区】,曙光信息产业股份有限公司,计算机硬件,沪深A股上市,2000-5000人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【杭州-余杭区】,天翼云科技有限公司,互联网,其他,2000-5000人
平台开发【杭州-西湖区】,浙江天猫技术有限公司,计算机软件,融资未公开,10000人以上
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
资深分布式存储开发工程师【成都】,北京青云科技股份有限公司,IT服务,科创板上市,500-999人
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【广州-海珠区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级软件工程师（存储）【上海-浦东新区】,中兴通讯股份有限公司-无线产品经营部,通信设备, ,10000人以上
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储研发工程师【成都-高新区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家(存储)【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储专家【北京-朝阳区】,阿里巴巴科技(北京)有限公司,计算机软件,融资未公开,10000人以上
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
资深存储开发工程师【武汉】,北京青云科技股份有限公司,IT服务,科创板上市,500-999人
云存储研发工程师【天津-西青区】,曙光信息产业股份有限公司,计算机硬件,沪深A股上市,2000-5000人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
云计算存储产品SRE工程师【深圳-南山区】,字节跳动,互联网,其他,10000人以上
云计算存储产品SRE工程师【杭州-余杭区】,字节跳动,互联网,其他,10000人以上
云计算存储产品SRE工程师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
存储研发工程师【北京-海淀区】,浪潮云服务,IT服务, ,2000-5000人
C++开发工程师【北京-海淀区】,浪潮云服务,IT服务, ,2000-5000人
C ++开发工程师【北京-海淀区】,浪潮云信息技术股份公司,云计算/大数据,C轮,100-499人
C++软件工程师【北京-海淀区】,浪潮云服务,IT服务, ,2000-5000人
