职位名称,公司名称,公司类型,融资情况,公司规模
存储研发工程师【北京-朝阳区】,汉勃科技,人工智能, ,50-99人
分布式存储研发专家（北、上、广、成都）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
数字验证主管【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
存储研发专家【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
分布式存储【北京】,某通讯公司,云服务,其他,100-499人
医院行业销售经理（北京）【北京-海淀区】,SmartX,计算机软件,C轮,100-499人
研发专家(存储)【北京-海淀区】,某知名公司,计算机软件,战略融资,2000-5000人
存储研发专家【北京】,某北京世界500强公司,互联网,其他,100-499人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
SSD固件研发工程师【上海-闵行区】,某北京大型互联网/电商公司,在线社交/媒体,D轮及以上,10000人以上
研发专家（存储）【北京】,某知名公司,专业技术服务
数字验证工程师【苏州-工业园区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
SSD固件研发工程师（上海/杭州）【杭州】,某北京大型互联网公司,在线社交/媒体,D轮及以上,10000人以上
分布式存储研发专家【北京】,国内某知名公司,通信业,已上市,10000人以上
研发专家（分布式存储/存储引擎）【上海】,某互联网科技公司,互联网/电商,已上市,10000人以上
块存储研发工程师(H8072)【北京-海淀区】,XSKY星辰天合,计算机软件,D轮,500-999人
ssd固件研发工程师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
高级后端开发工程师（混合云存储方向）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
SSD固件研发工程师【北京-海淀区】,字节跳动,互联网,其他,10000人以上
解决方案销售经理（三桶油方向）【北京-海淀区】,SmartX,计算机软件,C轮,100-499人
研发专家（混合云存储方向）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
虚拟化开发工程师【成都-高新区】,SmartX,计算机软件,C轮,100-499人
系统运维工程师【上海】,宝信,互联网,沪深A股上市,2000-5000人
SSD固件研发工程师【杭州-余杭区】,字节跳动,互联网,其他,10000人以上
资深分布式存储工程师【北京-海淀区】,SmartX,计算机软件,C轮,100-499人
混合云存储研发高级工程师【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
存储研发工程师【深圳-南山区】,字节跳动,互联网,其他,10000人以上
逻辑设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
存储研发【北京】,某北京互联网公司,互联网,融资未公开,100-499人
验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
分布式存储系统研发工程师 (MJ000728)【北京-朝阳区】,上海壁仞智能科技有限公司,电子/半导体/集成电路,C轮,500-999人
虚拟化开发工程师【北京】,SmartX,计算机软件,C轮,100-499人
验证工程师【珠海-横琴新区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
资深分布式存储工程师【深圳-南山区】,SmartX,计算机软件,C轮,100-499人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储高级研发工程师【北京-朝阳区】,汉勃科技,人工智能, ,50-99人
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储研发工程师【上海-闵行区】,某北京大型互联网/电商公司,在线社交/媒体,D轮及以上,10000人以上
逻辑设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
数字验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
高级软件工程师 - 元数据服务【深圳-南山区】,SmartX,计算机软件,C轮,100-499人
资深分布式存储工程师【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
高级软件工程师 - 元数据服务【北京】,SmartX,计算机软件,C轮,100-499人
数字设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
数字设计主管【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
研发专家（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【北京】,某云计算厂商,互联网/电商,战略融资,10000人以上
DPU芯片架构师【珠海-横琴新区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
高级软件工程师 - 元数据服务【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
软件工程师 - 分布式存储【北京】,SmartX,计算机软件,C轮,100-499人
研发专家（混合云存储方向）【杭州-余杭区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储开发工程师【天津-东丽区】,北京联想协同科技有限公司,云计算/大数据,融资未公开,100-499人
软件工程师 - 分布式存储【深圳-南山区】,SmartX,计算机软件,C轮,100-499人
分布式文件系统研发工程师【北京】,SmartX,计算机软件,C轮,100-499人
高级后端开发工程师（混合云存储方向）【广州-海珠区】,天翼云科技有限公司,互联网,其他,2000-5000人
逻辑设计工程师【珠海-横琴新区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
存储架构工程师【上海】,网岳信息,通信设备,融资未公开,100-499人
DPU 存储卸载架构师【上海】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
存储研发工程师【杭州-余杭区】,字节跳动,互联网,其他,10000人以上
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【杭州-余杭区】,天翼云科技有限公司,互联网,其他,2000-5000人
DPU 存储卸载研发工程师【北京-海淀区】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
DPU 存储卸载架构师【深圳】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
块存储研发工程师(A0815)【北京-海淀区】,XSKY星辰天合,计算机软件,D轮,500-999人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储软件开发工程师【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
kubernetes 研发工程师【北京】,SmartX,计算机软件,C轮,100-499人
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（混合云存储方向）【广州-海珠区】,天翼云科技有限公司,互联网,其他,2000-5000人
kubernetes 研发工程师【深圳】,SmartX,计算机软件,C轮,100-499人
存储产品测试工程师【上海】,上海霄云信息科技有限公司,互联网,A轮,1-49人
DPU 存储卸载架构师【北京-海淀区】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
高级后端开发工程师（混合云存储方向）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储研发工程师【成都-高新区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家(存储)【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
云存储研发专家【天津-西青区】,曙光信息产业股份有限公司,计算机硬件,沪深A股上市,2000-5000人
块存储研发工程师(A0815)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
基础架构专家【杭州-余杭区】,阿里巴巴集团,互联网,港股上市,10000人以上
研发专家（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
